adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,runtime
False,/pSjGsbqyKUzF8rHzL0vtVWV1pS6.jpg,"['Drama', 'History', 'TV Movie']",21634,en,Prayers for Bobby,"Bobby Griffith was his mother's favorite son, the perfect all-American boy growing up under deeply religious influences in Walnut Creek, California. Bobby was also gay. Struggling with a conflict no one knew of, much less understood, Bobby finally came out to his family.",24.348,/1viFwXluAettogGDsTrSUUg29lZ.jpg,2009-01-24,Prayers for Bobby,False,8.079,572,
False,/pgEWI7yGYF0mM5Uf1YxSOHsBkJR.jpg,"['Drama', 'Romance']",4348,en,Pride & Prejudice,"A story of love and life among the landed English gentry during the Georgian era. Mr. Bennet is a gentleman living in Hertfordshire with his overbearing wife and five daughters, but if he dies their house will be inherited by a distant cousin whom they have never met, so the family's future happiness and security is dependent on the daughters making good marriages.",102.182,/sGjIvtVvTlWnia2zfJfHz81pZ9Q.jpg,2005-09-16,Pride & Prejudice,False,8.078,7866,
False,/w5IDXtifKntw0ajv2co7jFlTQDM.jpg,"['Science Fiction', 'Mystery', 'Adventure']",62,en,2001: A Space Odyssey,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",100.75,/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg,1968-04-02,2001: A Space Odyssey,False,8.077,11238,
False,/imUJOrtNf8EWameChpaRLXSaX4w.jpg,"['Animation', 'Drama', 'Fantasy']",149871,ja,かぐや姫の物語,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthrals all who encounter her. But, ultimately, she must confront her fate.",46.347,/cQidJuA546OSSXKWXoiCeINDxuj.jpg,2013-11-23,The Tale of The Princess Kaguya,False,8.077,1705,
False,/ojH9M6BIHnHyAXLPsm7cRi7OkLU.jpg,"['Drama', 'History', 'Romance']",11659,it,La meglio gioventù,"After a fateful encounter in the summer of 1966, the lives of two brothers from a middle-class Roman family take different directions, intersecting with some of the most significant events of postwar Italian history in the following decades.",24.654,/jKFeWrVshmFj8uG056O4tT5ZNTE.jpg,2003-06-22,The Best of Youth,False,8.071,513,
False,/d3dkL8C7gfd8cv5xJLBJ3IG37nY.jpg,"['Animation', 'Family']",831827,en,Far from the Tree,"On an idyllic beach in the Pacific Northwest, curiosity gets the better of a young raccoon whose frustrated parent attempts to keep them both safe.",16.292,/39oaQUS0KxyXL6KYJ2o2u03PpHz.jpg,2021-11-24,Far from the Tree,False,8.1,361,
False,/dRKCNvOjXkRTIA3D3KAve7GRu4k.jpg,"['Action', 'Comedy', 'Mystery']",992,en,Sherlock Jr.,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",32.567,/1G9r3rqtbFAQuyWKOZm4Y5J5s7Q.jpg,1924-04-17,Sherlock Jr.,False,8.072,950,
False,/oQHF0Y4gCw6VdPmapjsbZoxY2ht.jpg,"['Crime', 'Drama']",359940,en,"Three Billboards Outside Ebbing, Missouri","After seven months have passed without a culprit in her daughter's murder case, Mildred Hayes makes a bold move, painting three signs leading into her town with a controversial message directed at Bill Willoughby, the town's revered chief of police. When his second-in-command Officer Jason Dixon, an immature mother's boy with a penchant for violence, gets involved, the battle between Mildred and Ebbing's law enforcement is only exacerbated.",53.365,/pZRhqJj0DBy4ghB7g6pU7MGHsWJ.jpg,2017-12-01,"Three Billboards Outside Ebbing, Missouri",False,8.071,9891,
False,/fgffluhvdOv79SkYaKrfRA0xkf4.jpg,['Drama'],334543,en,Lion,"A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia; 25 years later, he sets out to find his lost family.",44.554,/iBGRbLvg6kVc7wbS8wDdVHq6otm.jpg,2016-11-24,Lion,False,8.071,6436,
False,/fxYazFVeOCHpHwuqGuiqcCTw162.jpg,"['Fantasy', 'Animation', 'Family']",8392,ja,となりのトトロ,"Two sisters move to the country with their father in order to be closer to their hospitalized mother, and discover the surrounding trees are inhabited by Totoros, magical spirits of the forest. When the youngest runs away from home, the older sister seeks help from the spirits to find her.",92.352,/rtGDOeG9LzoerkDGZF9dnVeLppL.jpg,1988-04-16,My Neighbor Totoro,False,8.067,7745,
